Link,Data,Hora,Pais,Liga,Rodada,Home,Away,H_gols_ft,A_gols_ft,H_gols_ht,A_gols_ht,H_posse,A_posse,H_xg,A_xg,H_chutes,A_chutes,H_chutes_alvo,A_chutes_alvo,H_escanteios,A_escanteios,H_faltas,A_faltas,H_amarelos,A_amarelos,H_vermelhos,A_vermelhos,H_ataques,A_ataques,H_ataques_perigosos,A_ataques_perigosos,H_defesas_goleiro,A_defesas_goleiro,H_passes,A_passes,H_acerto_passe,A_acerto_passe,H_passes_decisivos,A_passes_decisivos,H_cruzamentos,A_cruzamentos,H_dribles,A_dribles,H1_chutes_alvo,A1_chutes_alvo,H1_ataques,A1_ataques,H1_ataques_perigosos,A1_ataques_perigosos,H2_chutes_alvo,A2_chutes_alvo,H2_ataques,A2_ataques,H2_ataques_perigosos,A2_ataques_perigosos,Odd_h_open,Odd_d_open,Odd_a_open,Odd_h_close,Odd_d_close,Odd_a_close
https://redscores.com/match/ried-wsg-tirol/P7x3CA#1711115,2026-02-22,10:30,Austria,Tipico Bundesliga,Rodada 20,WSG Tirol,Ried,1,1,1,1,48.0,52.0,1.46,1.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/grazer-ak-hartberg/0qAxRQA#1711114,2026-02-21,13:00,Austria,Tipico Bundesliga,Rodada 20,Hartberg,Grazer AK,1,0,1,0,43.0,57.0,1.84,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/austria-wien-rheindorf-altach/P8xWBA#1711111,2026-02-21,13:00,Austria,Tipico Bundesliga,Rodada 20,Rheindorf Altach,Austria Wien,2,1,2,1,47.0,53.0,0.77,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/rheindorf-altach-hartberg/WBAxRQA#1711107,2026-02-14,13:00,Austria,Tipico Bundesliga,Rodada 19,Hartberg,Rheindorf Altach,0,0,0,0,51.0,49.0,0.59,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/lask-linz-ried/h4xP7#1711106,2026-02-14,13:00,Austria,Tipico Bundesliga,Rodada 19,Ried,LASK Linz,1,1,1,1,40.0,60.0,0.84,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/sturm-graz-ried/b4xP7#1711103,2026-02-08,13:00,Austria,Tipico Bundesliga,Rodada 18,Sturm Graz,Ried,1,0,1,0,54.0,46.0,0.59,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/wsg-tirol-hartberg/3CAxRQA#1711098,2025-12-13,13:00,Austria,Tipico Bundesliga,Rodada 17,Hartberg,WSG Tirol,2,1,2,1,60.0,40.0,1.44,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/sturm-graz-grazer-ak/b4x0qA#1711089,2025-12-07,13:00,Austria,Tipico Bundesliga,Rodada 16,Sturm Graz,Grazer AK,2,1,2,1,46.0,54.0,1.56,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/salzburg-rheindorf-altach/zxWBA#1711085,2025-11-30,10:30,Austria,Tipico Bundesliga,Rodada 15,Rheindorf Altach,Salzburg,1,1,1,1,41.0,59.0,0.6,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/ried-wolfsberger-ac/P7xCAA#1711086,2025-11-29,13:00,Austria,Tipico Bundesliga,Rodada 15,Ried,Wolfsberger AC,1,0,1,0,48.0,52.0,2.32,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
