Link,Data,Hora,Liga,Rodada,Home,Away,H_gols_ft,A_gols_ft,H_gols_ht,A_gols_ht,H_posse,A_posse,H_xg,A_xg,H_chutes,A_chutes,H_chutes_alvo,A_chutes_alvo,H_escanteios,A_escanteios,H_faltas,A_faltas,H_amarelos,A_amarelos,H_vermelhos,A_vermelhos,H_ataques,A_ataques,H_ataques_perigosos,A_ataques_perigosos,H_defesas_goleiro,A_defesas_goleiro,H_passes,A_passes,H_acerto_passe,A_acerto_passe,H_passes_decisivos,A_passes_decisivos,H_cruzamentos,A_cruzamentos,H_dribles,A_dribles,H1_chutes_alvo,A1_chutes_alvo,H1_ataques,A1_ataques,H1_ataques_perigosos,A1_ataques_perigosos,H2_chutes_alvo,A2_chutes_alvo,H2_ataques,A2_ataques,H2_ataques_perigosos,A2_ataques_perigosos,Odd_h_open,Odd_d_open,Odd_a_open,Odd_h_close,Odd_d_close,Odd_a_close
https://redscores.com/match/karlsruher-sc-hertha-bsc/B0xL3#1710844,2026-01-24,09:00,2. Bundesliga,Rodada 19,Karlsruher SC,Hertha BSC,2,2,2,2,37.0,63.0,1.42,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/karlsruher-sc-eintracht-braunschweig/B0xN7#1429961,2025-02-09,09:30,2. Bundesliga,Rodada 21,Karlsruher SC,Eintracht Braunschweig,0,2,0,2,66.0,34.0,2.31,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/fortuna-dusseldorf-karlsruher-sc/4IxB0#1710852,2026-02-08,09:30,2. Bundesliga,Rodada 21,Karlsruher SC,Fortuna Düsseldorf,1,1,1,1,56.0,44.0,0.44,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/ulm-preusen-munster/kGxY8#1428971,2024-12-21,09:00,2. Bundesliga,Rodada 17,Preußen Münster,Ulm,0,0,0,0,44.0,56.0,0.37,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/nurnberg-spvgg-greuther-furth/UHxH5#1710824,2025-12-07,09:30,2. Bundesliga,Rodada 15,Nürnberg,SpVgg Greuther Fürth,2,2,2,2,62.0,38.0,1.11,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/fortuna-dusseldorf-preusen-munster/4IxY8#1710899,2026-02-13,14:30,2. Bundesliga,Rodada 22,Fortuna Düsseldorf,Preußen Münster,0,0,0,0,49.0,51.0,1.41,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/hannover-96-hamburger-sv/2Uxmw#1429083,2025-02-02,09:30,2. Bundesliga,Rodada 20,Hamburger SV,Hannover 96,2,2,2,2,67.0,33.0,1.75,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/spvgg-greuther-furth-holstein-kiel/H5xg8#1710725,2025-08-24,08:30,2. Bundesliga,Rodada 3,SpVgg Greuther Fürth,Holstein Kiel,0,2,0,2,55.0,45.0,0.93,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/magdeburg-preusen-munster/Z6xY8#1428999,2025-05-02,13:30,2. Bundesliga,Rodada 32,Magdeburg,Preußen Münster,0,5,0,5,63.0,37.0,1.47,2.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/karlsruher-sc-magdeburg/B0xZ6#1710909,2026-03-01,09:30,2. Bundesliga,Rodada 24,Magdeburg,Karlsruher SC,1,3,1,3,63.0,37.0,2.67,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/dsc-arminia-bielefeld-spvgg-greuther-furth/9yxH5#1710704,2025-09-19,13:30,2. Bundesliga,Rodada 6,DSC Arminia Bielefeld,SpVgg Greuther Fürth,1,3,1,3,68.0,32.0,1.08,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/dynamo-dresden-elversberg/uIxZ7#1710703,2025-09-14,08:30,2. Bundesliga,Rodada 5,Elversberg,Dynamo Dresden,2,2,2,2,64.0,36.0,2.86,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/ulm-fortuna-dusseldorf/kGx4I#1428980,2025-02-01,09:00,2. Bundesliga,Rodada 20,Fortuna Düsseldorf,Ulm,3,2,3,2,49.0,51.0,1.45,1.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/hannover-96-hertha-bsc/2UxL3#1429106,2024-12-22,09:30,2. Bundesliga,Rodada 17,Hannover 96,Hertha BSC,0,0,0,0,48.0,52.0,0.76,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/paderborn-dsc-arminia-bielefeld/JVx9y#1710780,2025-10-18,08:00,2. Bundesliga,Rodada 9,Paderborn,DSC Arminia Bielefeld,4,3,4,3,50.0,50.0,3.41,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/nurnberg-dsc-arminia-bielefeld/UHx9y#1710956,2026-04-18,08:00,2. Bundesliga,Rodada 30,DSC Arminia Bielefeld,Nürnberg,1,1,1,1,67.0,33.0,0.92,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/kaiserslautern-holstein-kiel/1nxg8#1710804,2025-11-23,09:30,2. Bundesliga,Rodada 13,Kaiserslautern,Holstein Kiel,4,1,4,1,63.0,37.0,3.39,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
https://redscores.com/match/hertha-bsc-holstein-kiel/L3xg8#1710812,2025-11-29,09:00,2. Bundesliga,Rodada 14,Holstein Kiel,Hertha BSC,0,1,0,1,52.0,48.0,0.79,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
