Match_ID,Campeonato,Rodada,Home,Away,Score_Home,Score_Away,Data,Hora,H_Gols_HT,A_Gols_HT
6ciL4fAb,BRASIL: Brasileirão Betano,RODADA 20,Vitória,Juventude,2,2,,,,
SCuU2YvB,BRASIL: Brasileirão Betano,RODADA 20,Ceará,Red Bull Bragantino,1,0,,,,
llsSnMlD,BRASIL: Brasileirão Betano,RODADA 20,Fluminense,Fortaleza,2,1,,,,
hMmJlrK0,BRASIL: Brasileirão Betano,RODADA 19,Juventude,Corinthians,2,1,,,,
E7AWcncE,BRASIL: Brasileirão Betano,RODADA 19,Grêmio,Sport,0,1,,,,
Wronjzv8,BRASIL: Brasileirão Betano,RODADA 19,Cruzeiro,Santos,1,2,,,,
WK2aavHL,BRASIL: Brasileirão Betano,RODADA 19,Palmeiras,Ceará,2,1,,,,
jBfi10n9,BRASIL: Brasileirão Betano,RODADA 19,Vasco,Atlético-MG,1,1,,,,
0O8vdQRQ,BRASIL: Brasileirão Betano,RODADA 19,Bahia,Fluminense,3,3,,,,
K8kBj4kl,BRASIL: Brasileirão Betano,RODADA 19,Fortaleza,Botafogo,0,5,,,,
O425wcf2,BRASIL: Brasileirão Betano,RODADA 19,Flamengo,Mirassol,2,1,,,,
OIsvhd9e,BRASIL: Brasileirão Betano,RODADA 19,Red Bull Bragantino,Internacional,1,3,,,,
SjlVgIvq,BRASIL: Brasileirão Betano,RODADA 19,São Paulo,Vitória,2,0,,,,
WpnjY1IM,BRASIL: Brasileirão Betano,RODADA 18,Santos,Juventude,3,1,,,,
vi9HlN23,BRASIL: Brasileirão Betano,RODADA 18,Internacional,São Paulo,1,2,,,,
C47Pn1XF,BRASIL: Brasileirão Betano,RODADA 18,Vitória,Palmeiras,2,2,,,,
OrRUQJAd,BRASIL: Brasileirão Betano,RODADA 18,Atlético-MG,Red Bull Bragantino,2,1,,,,
W6NQpu2S,BRASIL: Brasileirão Betano,RODADA 18,Ceará,Flamengo,1,1,,,,
ULkZypJc,BRASIL: Brasileirão Betano,RODADA 18,Botafogo,Cruzeiro,0,2,,,,
QmqrzOmA,BRASIL: Brasileirão Betano,RODADA 18,Corinthians,Fortaleza,1,1,,,,
xS2mEtRj,BRASIL: Brasileirão Betano,RODADA 18,Fluminense,Grêmio,1,0,,,,
GINMSutp,BRASIL: Brasileirão Betano,RODADA 18,Mirassol,Vasco,3,2,,,,
2kEduJPk,BRASIL: Brasileirão Betano,RODADA 18,Sport,Bahia,0,0,,,,
SK5TvhYo,BRASIL: Brasileirão Betano,RODADA 14,Grêmio,Fortaleza,2,1,,,,
Gxna5CrJ,BRASIL: Brasileirão Betano,RODADA 17,Flamengo,Atlético-MG,1,0,,,,
lpqazXsg,BRASIL: Brasileirão Betano,RODADA 17,Bahia,Juventude,3,0,,,,
tKuixgDt,BRASIL: Brasileirão Betano,RODADA 17,Internacional,Vasco,1,1,,,,
2gAtIkSO,BRASIL: Brasileirão Betano,RODADA 17,Cruzeiro,Ceará,1,2,,,,
zsJPLXSa,BRASIL: Brasileirão Betano,RODADA 17,São Paulo,Fluminense,3,1,,,,
SGFHNgbm,BRASIL: Brasileirão Betano,RODADA 17,Palmeiras,Grêmio,1,0,,,,
rqvoTFzQ,BRASIL: Brasileirão Betano,RODADA 17,Botafogo,Corinthians,1,1,,,,
AaX7YAC5,BRASIL: Brasileirão Betano,RODADA 17,Fortaleza,Red Bull Bragantino,3,1,,,,
UuCYJBcC,BRASIL: Brasileirão Betano,RODADA 17,Mirassol,Vitória,1,1,,,,
rRpFWlsI,BRASIL: Brasileirão Betano,RODADA 17,Sport,Santos,2,2,,,,
dzWc7YD6,BRASIL: Brasileirão Betano,RODADA 16,Juventude,São Paulo,0,1,,,,
O8hHfeU0,BRASIL: Brasileirão Betano,RODADA 16,Red Bull Bragantino,Flamengo,1,2,,,,
Sta8dHal,BRASIL: Brasileirão Betano,RODADA 16,Santos,Internacional,1,2,,,,
SfvsBGEs,BRASIL: Brasileirão Betano,RODADA 16,Vitória,Sport,2,2,,,,
WADx2wxR,BRASIL: Brasileirão Betano,RODADA 16,Corinthians,Cruzeiro,0,0,,,,
OMXk9fqf,BRASIL: Brasileirão Betano,RODADA 16,Ceará,Mirassol,0,2,,,,
UoXstdF7,BRASIL: Brasileirão Betano,RODADA 16,Fluminense,Palmeiras,1,2,,,,
MssPTRPp,BRASIL: Brasileirão Betano,RODADA 15,Flamengo,Fluminense,1,0,,,,
KlaBk9n4,BRASIL: Brasileirão Betano,RODADA 15,Palmeiras,Atlético-MG,3,2,,,,
8WrZsIpe,BRASIL: Brasileirão Betano,RODADA 15,Sport,Botafogo,0,1,,,,
KCsbt59j,BRASIL: Brasileirão Betano,RODADA 15,Cruzeiro,Juventude,4,0,,,,
65Nh2nW9,BRASIL: Brasileirão Betano,RODADA 15,Vitória,Red Bull Bragantino,1,0,,,,
YiPp481c,BRASIL: Brasileirão Betano,RODADA 15,Internacional,Ceará,1,0,,,,
SE2JmmHG,BRASIL: Brasileirão Betano,RODADA 15,São Paulo,Corinthians,2,0,,,,
lUjSoRoT,BRASIL: Brasileirão Betano,RODADA 15,Mirassol,Santos,3,0,,,,
EyUAiVHi,BRASIL: Brasileirão Betano,RODADA 15,Vasco,Grêmio,1,1,,,,
06uRqvGr,BRASIL: Brasileirão Betano,RODADA 15,Fortaleza,Bahia,1,1,,,,
KjUwO2xP,BRASIL: Brasileirão Betano,RODADA 14,Fluminense,Cruzeiro,0,2,,,,
AF9mr6Nt,BRASIL: Brasileirão Betano,RODADA 14,Botafogo,Vitória,0,0,,,,
EDkDx2iI,BRASIL: Brasileirão Betano,RODADA 14,Red Bull Bragantino,São Paulo,2,2,,,,
Iod4vOM5,BRASIL: Brasileirão Betano,RODADA 14,Santos,Flamengo,1,0,,,,
fXdpyAXA,BRASIL: Brasileirão Betano,RODADA 14,Ceará,Corinthians,0,1,,,,
WUcdtphg,BRASIL: Brasileirão Betano,RODADA 14,Palmeiras,Mirassol,1,1,,,,
OOzVPO7C,BRASIL: Brasileirão Betano,RODADA 13,Juventude,Sport,2,0,,,,
O6PfOBW7,BRASIL: Brasileirão Betano,RODADA 13,Cruzeiro,Grêmio,4,1,,,,
jBxNRpw0,BRASIL: Brasileirão Betano,RODADA 13,Fortaleza,Ceará,0,1,,,,
08KFXF9L,BRASIL: Brasileirão Betano,RODADA 13,Corinthians,Red Bull Bragantino,1,2,,,,
A1UET68m,BRASIL: Brasileirão Betano,RODADA 13,Bahia,Atlético-MG,2,1,,,,
4tR6Zyu9,BRASIL: Brasileirão Betano,RODADA 13,Vasco,Botafogo,0,2,,,,
xzZKBYn2,BRASIL: Brasileirão Betano,RODADA 13,Flamengo,São Paulo,2,0,,,,
422snFOE,BRASIL: Brasileirão Betano,RODADA 13,Internacional,Vitória,1,0,,,,
2HKxae3d,BRASIL: Brasileirão Betano,RODADA 12,Atlético-MG,Internacional,2,0,,,,
