id_jogo,pais,liga,div,temporada,rodada,data,hora,home,away,h_gols_ft,a_gols_ft,h_gols_ht,a_gols_ht,h_min_gols,a_min_gols,odd_h_ft,odd_d_ft,odd_a_ft,odd_h_ht,odd_d_ht,odd_a_ht,over_1.5_ft,under_1.5_ft,over_2.5_ft,under_2.5_ft,over_3.5_ft,under_3.5_ft,btts_yes,btts_no,dc_1x,dc_12,dc_x2
fuKhnh3d,CHINA,Super League 2026,CHINA 1,2026,RODADA 14,24/05/2026,08:00,Yunnan Yukun,Qingdao West Coast,,,,,,,1.73,3.8,4.2,2.2,2.37,4.25,1.16,4.33,1.55,2.14,2.22,1.52,1.6,2.2,1.2,1.23,1.87
2PDf6DfS,CHINA,Super League 2026,CHINA 1,2026,RODADA 14,24/05/2026,08:35,Shandong Taishan,Wuhan Three Towns,,,,,,,1.34,5.1,8.0,1.71,2.7,6.25,1.13,4.7,1.46,2.42,2.2,1.56,1.78,1.91,1.06,1.13,2.95
faAn8ZPF,CHINA,Super League 2026,CHINA 1,2026,RODADA 14,24/05/2026,08:35,Zhejiang Professional,Liaoning Tieren,,,,,,,1.71,3.95,4.2,2.14,2.5,4.1,1.11,5.08,1.43,2.51,2.15,1.58,1.49,2.4,1.18,1.2,2.0
IkJP0iIk,CHINA,Super League 2026,CHINA 1,2026,RODADA 14,24/05/2026,09:00,Shanghai Shenhua,Shenzhen Xinpengcheng,,,,,,,1.41,4.5,5.0,1.84,2.62,5.33,1.08,6.5,1.45,2.4,2.06,1.63,1.6,2.2,1.11,1.14,2.25
UNaFpaMH,ROMANIA,Liga 1 2025-2026,ROMANIA 1,2025,FINAL,24/05/2026,11:30,FC Hermannstadt,FC Voluntari,,,,,,,1.97,3.3,3.85,2.65,2.07,4.35,1.38,2.75,2.23,1.57,4.0,1.2,1.95,1.8,1.27,1.31,1.83
UcWTkZt0,ROMANIA,Liga 1 2025-2026,ROMANIA 1,2025,SEMIFINAIS,24/05/2026,14:30,FCSB,Botosani,,,,,,,1.46,4.2,5.33,1.9,2.4,5.33,1.14,4.8,1.59,2.31,2.55,1.45,1.72,1.96,1.12,1.17,2.16
SONNcWYg,SWEDEN,Superettan 2026,SWEDEN 2,2026,RODADA 9,24/05/2026,10:00,Varberg,Sundsvall,,,,,,,1.6,3.8,5.1,2.15,2.2,5.2,1.22,4.0,1.8,2.0,2.75,1.4,1.8,1.91,1.17,1.23,2.3
t8PFah4s,SWEDEN,Superettan 2026,SWEDEN 2,2026,RODADA 9,24/05/2026,12:00,Sandviken,Landskrona,,,,,,,2.62,3.33,2.22,3.2,2.2,2.83,1.22,3.7,1.64,1.94,2.66,1.38,1.66,2.1,1.47,1.25,1.35
zTY77rLl,DENMARK,First Division 2025-2026,DENMARK 2,2025,RODADA 31,24/05/2026,11:00,Koge,Hobro,,,,,,,2.66,3.14,2.28,3.25,2.14,2.9,1.23,3.6,1.82,1.85,2.85,1.35,1.7,2.05,1.44,1.27,1.35
ALqiwAQF,SERBIA,Super Liga 2025-2026,SERBIA 1,2025,RODADA 37,24/05/2026,14:30,IMT Novi Beograd,TSC,,,,,,,2.62,3.25,2.37,2.85,2.05,3.4,1.3,3.35,1.93,1.8,3.35,1.3,1.66,1.85,1.32,1.27,1.52
KEywU5m2,SERBIA,Super Liga 2025-2026,SERBIA 1,2025,RODADA 37,24/05/2026,14:30,Mladost,Napredak,,,,,,,1.23,5.5,11.25,1.65,2.57,9.0,1.23,3.45,1.73,1.91,2.8,1.34,2.15,1.62,1.05,1.12,4.15
EHYUVRIk,SERBIA,Super Liga 2025-2026,SERBIA 1,2025,RODADA 37,24/05/2026,14:30,Radnicki 1923,Javor,,,,,,,1.53,4.0,6.0,2.1,2.2,5.5,1.27,3.1,1.85,1.75,3.1,1.27,2.0,1.8,1.13,1.22,2.4
rZsayleS,SERBIA,Super Liga 2025-2026,SERBIA 1,2025,RODADA 37,24/05/2026,14:30,Radnički Nis,Sp. Subotica,,,,,,,1.28,4.5,7.5,1.7,2.5,7.5,1.19,4.2,1.64,2.16,2.5,1.48,2.05,1.7,1.04,1.11,2.8
